Epoch: 0	,Training loss (MRSE): 0.979283	,Validation loss (MRSE): 0.999999	,Training loss (MSE): 7.89194e+22	,Validation loss (MSE): 5.74934e+19	,Training accuracy (MAE): -1.40633e+10	,Validation accuracy (MAE): -9.03275e+08	,Training accuracy (MRAE): 0.0152702	,Validation accuracy (MRAE): 3.76011e-07
Epoch: 672	,Training loss (MRSE): 0.0960066	,Validation loss (MRSE): 0.812243	,Training loss (MSE): 9.96216e+15	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -1.24439e+07	,Validation accuracy (MAE): -7.56347e+07	,Training accuracy (MRAE): 0.767568	,Validation accuracy (MRAE): 0.125197
Epoch: 680	,Training loss (MRSE): 0.179179	,Validation loss (MRSE): 0.818399	,Training loss (MSE): 2.45907e+16	,Validation loss (MSE): 1.93026e+17	,Training accuracy (MAE): -2.12549e+07	,Validation accuracy (MAE): -7.52655e+07	,Training accuracy (MRAE): 0.667364	,Validation accuracy (MRAE): 0.124088
Epoch: 688	,Training loss (MRSE): 0.171312	,Validation loss (MRSE): 0.818874	,Training loss (MSE): 4.84599e+16	,Validation loss (MSE): 1.92982e+17	,Training accuracy (MAE): -3.24665e+07	,Validation accuracy (MAE): -7.60578e+07	,Training accuracy (MRAE): 0.639624	,Validation accuracy (MRAE): 0.118793
Epoch: 696	,Training loss (MRSE): 0.115319	,Validation loss (MRSE): 0.818244	,Training loss (MSE): 5.18065e+16	,Validation loss (MSE): 1.93026e+17	,Training accuracy (MAE): -3.06577e+07	,Validation accuracy (MAE): -7.61139e+07	,Training accuracy (MRAE): 0.720864	,Validation accuracy (MRAE): 0.11731
Epoch: 704	,Training loss (MRSE): 0.119903	,Validation loss (MRSE): 0.808333	,Training loss (MSE): 6.98709e+15	,Validation loss (MSE): 1.93015e+17	,Training accuracy (MAE): -1.1897e+07	,Validation accuracy (MAE): -7.54166e+07	,Training accuracy (MRAE): 0.72439	,Validation accuracy (MRAE): 0.126136
Epoch: 712	,Training loss (MRSE): 0.0877055	,Validation loss (MRSE): 0.814749	,Training loss (MSE): 3.24666e+15	,Validation loss (MSE): 1.9303e+17	,Training accuracy (MAE): -7.18087e+06	,Validation accuracy (MAE): -7.59076e+07	,Training accuracy (MRAE): 0.78295	,Validation accuracy (MRAE): 0.120837
Epoch: 720	,Training loss (MRSE): 0.142273	,Validation loss (MRSE): 0.813658	,Training loss (MSE): 2.17414e+16	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -2.13511e+07	,Validation accuracy (MAE): -7.5777e+07	,Training accuracy (MRAE): 0.675515	,Validation accuracy (MRAE): 0.120372
Epoch: 728	,Training loss (MRSE): 0.118194	,Validation loss (MRSE): 0.815389	,Training loss (MSE): 1.63797e+17	,Validation loss (MSE): 1.93005e+17	,Training accuracy (MAE): -5.06038e+07	,Validation accuracy (MAE): -7.53532e+07	,Training accuracy (MRAE): 0.723995	,Validation accuracy (MRAE): 0.120229
Epoch: 736	,Training loss (MRSE): 0.0883146	,Validation loss (MRSE): 0.81343	,Training loss (MSE): 4.74157e+15	,Validation loss (MSE): 1.93022e+17	,Training accuracy (MAE): -8.95446e+06	,Validation accuracy (MAE): -7.56926e+07	,Training accuracy (MRAE): 0.772761	,Validation accuracy (MRAE): 0.123848
Epoch: 744	,Training loss (MRSE): 0.105484	,Validation loss (MRSE): 0.811971	,Training loss (MSE): 1.10658e+16	,Validation loss (MSE): 1.93031e+17	,Training accuracy (MAE): -1.47891e+07	,Validation accuracy (MAE): -7.63652e+07	,Training accuracy (MRAE): 0.745212	,Validation accuracy (MRAE): 0.121932
Epoch: 752	,Training loss (MRSE): 0.105657	,Validation loss (MRSE): 0.817919	,Training loss (MSE): 1.98709e+16	,Validation loss (MSE): 1.93023e+17	,Training accuracy (MAE): -1.92694e+07	,Validation accuracy (MAE): -7.55316e+07	,Training accuracy (MRAE): 0.742865	,Validation accuracy (MRAE): 0.12247
Epoch: 760	,Training loss (MRSE): 0.0998793	,Validation loss (MRSE): 0.824608	,Training loss (MSE): 1.74858e+16	,Validation loss (MSE): 1.93023e+17	,Training accuracy (MAE): -1.79392e+07	,Validation accuracy (MAE): -7.62844e+07	,Training accuracy (MRAE): 0.757477	,Validation accuracy (MRAE): 0.117963
Epoch: 768	,Training loss (MRSE): 0.0788163	,Validation loss (MRSE): 0.823499	,Training loss (MSE): 2.54786e+16	,Validation loss (MSE): 1.93006e+17	,Training accuracy (MAE): -2.26399e+07	,Validation accuracy (MAE): -7.5548e+07	,Training accuracy (MRAE): 0.792465	,Validation accuracy (MRAE): 0.115899
Epoch: 776	,Training loss (MRSE): 0.107602	,Validation loss (MRSE): 0.814532	,Training loss (MSE): 3.39641e+16	,Validation loss (MSE): 1.92989e+17	,Training accuracy (MAE): -2.56296e+07	,Validation accuracy (MAE): -7.55179e+07	,Training accuracy (MRAE): 0.761379	,Validation accuracy (MRAE): 0.118707
Epoch: 784	,Training loss (MRSE): 0.0883771	,Validation loss (MRSE): 0.813017	,Training loss (MSE): 1.07363e+16	,Validation loss (MSE): 1.93001e+17	,Training accuracy (MAE): -1.29349e+07	,Validation accuracy (MAE): -7.53712e+07	,Training accuracy (MRAE): 0.769232	,Validation accuracy (MRAE): 0.123285
Epoch: 792	,Training loss (MRSE): 0.0983963	,Validation loss (MRSE): 0.831516	,Training loss (MSE): 1.36158e+16	,Validation loss (MSE): 1.92984e+17	,Training accuracy (MAE): -1.60878e+07	,Validation accuracy (MAE): -7.5519e+07	,Training accuracy (MRAE): 0.763555	,Validation accuracy (MRAE): 0.109557
Epoch: 800	,Training loss (MRSE): 0.102107	,Validation loss (MRSE): 0.827677	,Training loss (MSE): 1.63893e+16	,Validation loss (MSE): 1.93029e+17	,Training accuracy (MAE): -1.78605e+07	,Validation accuracy (MAE): -7.62745e+07	,Training accuracy (MRAE): 0.763807	,Validation accuracy (MRAE): 0.115021
Epoch: 808	,Training loss (MRSE): 0.0817203	,Validation loss (MRSE): 0.819825	,Training loss (MSE): 3.65926e+15	,Validation loss (MSE): 1.93022e+17	,Training accuracy (MAE): -8.42751e+06	,Validation accuracy (MAE): -7.59955e+07	,Training accuracy (MRAE): 0.78293	,Validation accuracy (MRAE): 0.121486
Epoch: 816	,Training loss (MRSE): 0.0800693	,Validation loss (MRSE): 0.813326	,Training loss (MSE): 1.67592e+16	,Validation loss (MSE): 1.93009e+17	,Training accuracy (MAE): -1.56302e+07	,Validation accuracy (MAE): -7.54741e+07	,Training accuracy (MRAE): 0.801386	,Validation accuracy (MRAE): 0.121681
Epoch: 824	,Training loss (MRSE): 0.108795	,Validation loss (MRSE): 0.822199	,Training loss (MSE): 2.58919e+16	,Validation loss (MSE): 1.93e+17	,Training accuracy (MAE): -2.34068e+07	,Validation accuracy (MAE): -7.5493e+07	,Training accuracy (MRAE): 0.721726	,Validation accuracy (MRAE): 0.115181
Epoch: 832	,Training loss (MRSE): 0.0765438	,Validation loss (MRSE): 0.820469	,Training loss (MSE): 1.40856e+16	,Validation loss (MSE): 1.93017e+17	,Training accuracy (MAE): -1.5316e+07	,Validation accuracy (MAE): -7.58447e+07	,Training accuracy (MRAE): 0.792044	,Validation accuracy (MRAE): 0.115841
Epoch: 840	,Training loss (MRSE): 0.0833277	,Validation loss (MRSE): 0.825444	,Training loss (MSE): 1.32065e+16	,Validation loss (MSE): 1.92993e+17	,Training accuracy (MAE): -1.55776e+07	,Validation accuracy (MAE): -7.57854e+07	,Training accuracy (MRAE): 0.776548	,Validation accuracy (MRAE): 0.115757
Epoch: 848	,Training loss (MRSE): 0.0909724	,Validation loss (MRSE): 0.808327	,Training loss (MSE): 1.3831e+16	,Validation loss (MSE): 1.93011e+17	,Training accuracy (MAE): -1.39163e+07	,Validation accuracy (MAE): -7.56444e+07	,Training accuracy (MRAE): 0.784937	,Validation accuracy (MRAE): 0.125878
Epoch: 856	,Training loss (MRSE): 0.0932709	,Validation loss (MRSE): 0.801808	,Training loss (MSE): 1.08789e+16	,Validation loss (MSE): 1.93003e+17	,Training accuracy (MAE): -1.17753e+07	,Validation accuracy (MAE): -7.54104e+07	,Training accuracy (MRAE): 0.789355	,Validation accuracy (MRAE): 0.134951
Epoch: 864	,Training loss (MRSE): 0.0758781	,Validation loss (MRSE): 0.822075	,Training loss (MSE): 3.06315e+15	,Validation loss (MSE): 1.93039e+17	,Training accuracy (MAE): -6.8571e+06	,Validation accuracy (MAE): -7.6392e+07	,Training accuracy (MRAE): 0.801839	,Validation accuracy (MRAE): 0.118755
Epoch: 872	,Training loss (MRSE): 0.0813147	,Validation loss (MRSE): 0.825321	,Training loss (MSE): 2.97302e+15	,Validation loss (MSE): 1.92989e+17	,Training accuracy (MAE): -7.11959e+06	,Validation accuracy (MAE): -7.58994e+07	,Training accuracy (MRAE): 0.793914	,Validation accuracy (MRAE): 0.118917
Epoch: 880	,Training loss (MRSE): 0.181328	,Validation loss (MRSE): 0.825503	,Training loss (MSE): 8.12293e+15	,Validation loss (MSE): 1.93061e+17	,Training accuracy (MAE): -1.37616e+07	,Validation accuracy (MAE): -7.69048e+07	,Training accuracy (MRAE): 0.662793	,Validation accuracy (MRAE): 0.118695
Epoch: 888	,Training loss (MRSE): 0.0683956	,Validation loss (MRSE): 0.822205	,Training loss (MSE): 6.27253e+15	,Validation loss (MSE): 1.93001e+17	,Training accuracy (MAE): -1.10142e+07	,Validation accuracy (MAE): -7.57114e+07	,Training accuracy (MRAE): 0.814168	,Validation accuracy (MRAE): 0.114888
Epoch: 896	,Training loss (MRSE): 0.0887702	,Validation loss (MRSE): 0.823007	,Training loss (MSE): 6.03212e+15	,Validation loss (MSE): 1.93004e+17	,Training accuracy (MAE): -1.12472e+07	,Validation accuracy (MAE): -7.57974e+07	,Training accuracy (MRAE): 0.774038	,Validation accuracy (MRAE): 0.119077
Epoch: 904	,Training loss (MRSE): 0.079699	,Validation loss (MRSE): 0.817763	,Training loss (MSE): 8.97097e+15	,Validation loss (MSE): 1.92998e+17	,Training accuracy (MAE): -1.1945e+07	,Validation accuracy (MAE): -7.52903e+07	,Training accuracy (MRAE): 0.795665	,Validation accuracy (MRAE): 0.117702
Epoch: 912	,Training loss (MRSE): 0.0954471	,Validation loss (MRSE): 0.807275	,Training loss (MSE): 8.08527e+15	,Validation loss (MSE): 1.92998e+17	,Training accuracy (MAE): -1.15597e+07	,Validation accuracy (MAE): -7.52608e+07	,Training accuracy (MRAE): 0.777922	,Validation accuracy (MRAE): 0.129518
Epoch: 920	,Training loss (MRSE): 0.162663	,Validation loss (MRSE): 0.826914	,Training loss (MSE): 5.34476e+17	,Validation loss (MSE): 1.93042e+17	,Training accuracy (MAE): -1.06018e+08	,Validation accuracy (MAE): -7.63058e+07	,Training accuracy (MRAE): 0.669293	,Validation accuracy (MRAE): 0.117818
Epoch: 928	,Training loss (MRSE): 0.0671666	,Validation loss (MRSE): 0.827175	,Training loss (MSE): 9.86335e+14	,Validation loss (MSE): 1.93003e+17	,Training accuracy (MAE): -4.61358e+06	,Validation accuracy (MAE): -7.59722e+07	,Training accuracy (MRAE): 0.821153	,Validation accuracy (MRAE): 0.116606
Epoch: 936	,Training loss (MRSE): 0.0865558	,Validation loss (MRSE): 0.814883	,Training loss (MSE): 3.09205e+15	,Validation loss (MSE): 1.93025e+17	,Training accuracy (MAE): -7.87106e+06	,Validation accuracy (MAE): -7.58532e+07	,Training accuracy (MRAE): 0.779426	,Validation accuracy (MRAE): 0.124453
Epoch: 944	,Training loss (MRSE): 0.0606651	,Validation loss (MRSE): 0.827031	,Training loss (MSE): 1.59653e+16	,Validation loss (MSE): 1.93003e+17	,Training accuracy (MAE): -1.64111e+07	,Validation accuracy (MAE): -7.55038e+07	,Training accuracy (MRAE): 0.830092	,Validation accuracy (MRAE): 0.113355
Epoch: 952	,Training loss (MRSE): 0.1291	,Validation loss (MRSE): 0.814061	,Training loss (MSE): 2.04564e+16	,Validation loss (MSE): 1.9307e+17	,Training accuracy (MAE): -2.01009e+07	,Validation accuracy (MAE): -7.64217e+07	,Training accuracy (MRAE): 0.702769	,Validation accuracy (MRAE): 0.129698
Epoch: 960	,Training loss (MRSE): 0.0515798	,Validation loss (MRSE): 0.822137	,Training loss (MSE): 3.17041e+15	,Validation loss (MSE): 1.93004e+17	,Training accuracy (MAE): -6.28715e+06	,Validation accuracy (MAE): -7.55203e+07	,Training accuracy (MRAE): 0.860644	,Validation accuracy (MRAE): 0.118972
Epoch: 968	,Training loss (MRSE): 0.0631326	,Validation loss (MRSE): 0.820144	,Training loss (MSE): 3.90502e+15	,Validation loss (MSE): 1.93011e+17	,Training accuracy (MAE): -8.31468e+06	,Validation accuracy (MAE): -7.58644e+07	,Training accuracy (MRAE): 0.822342	,Validation accuracy (MRAE): 0.122622
Epoch: 976	,Training loss (MRSE): 0.106359	,Validation loss (MRSE): 0.80975	,Training loss (MSE): 5.0258e+16	,Validation loss (MSE): 1.92998e+17	,Training accuracy (MAE): -2.86325e+07	,Validation accuracy (MAE): -7.55381e+07	,Training accuracy (MRAE): 0.744545	,Validation accuracy (MRAE): 0.128639
Epoch: 984	,Training loss (MRSE): 0.0745106	,Validation loss (MRSE): 0.813876	,Training loss (MSE): 1.45442e+16	,Validation loss (MSE): 1.93013e+17	,Training accuracy (MAE): -1.66913e+07	,Validation accuracy (MAE): -7.54268e+07	,Training accuracy (MRAE): 0.79364	,Validation accuracy (MRAE): 0.125473
Epoch: 992	,Training loss (MRSE): 0.0746403	,Validation loss (MRSE): 0.819958	,Training loss (MSE): 1.36009e+16	,Validation loss (MSE): 1.93024e+17	,Training accuracy (MAE): -1.64522e+07	,Validation accuracy (MAE): -7.60177e+07	,Training accuracy (MRAE): 0.790951	,Validation accuracy (MRAE): 0.121429
Epoch: 1000	,Training loss (MRSE): 0.064272	,Validation loss (MRSE): 0.818594	,Training loss (MSE): 3.93425e+15	,Validation loss (MSE): 1.93024e+17	,Training accuracy (MAE): -8.08126e+06	,Validation accuracy (MAE): -7.59946e+07	,Training accuracy (MRAE): 0.827262	,Validation accuracy (MRAE): 0.120514
Epoch: 1008	,Training loss (MRSE): 0.0735253	,Validation loss (MRSE): 0.823839	,Training loss (MSE): 1.77846e+15	,Validation loss (MSE): 1.9308e+17	,Training accuracy (MAE): -6.42389e+06	,Validation accuracy (MAE): -7.68594e+07	,Training accuracy (MRAE): 0.815162	,Validation accuracy (MRAE): 0.118477
Epoch: 1016	,Training loss (MRSE): 0.0812766	,Validation loss (MRSE): 0.820875	,Training loss (MSE): 2.43266e+16	,Validation loss (MSE): 1.93e+17	,Training accuracy (MAE): -1.75111e+07	,Validation accuracy (MAE): -7.55894e+07	,Training accuracy (MRAE): 0.779822	,Validation accuracy (MRAE): 0.120601
Epoch: 1024	,Training loss (MRSE): 0.0643026	,Validation loss (MRSE): 0.816818	,Training loss (MSE): 4.90901e+15	,Validation loss (MSE): 1.93014e+17	,Training accuracy (MAE): -9.50354e+06	,Validation accuracy (MAE): -7.5519e+07	,Training accuracy (MRAE): 0.818638	,Validation accuracy (MRAE): 0.123177
Epoch: 1032	,Training loss (MRSE): 0.0863631	,Validation loss (MRSE): 0.815076	,Training loss (MSE): 3.79542e+15	,Validation loss (MSE): 1.93015e+17	,Training accuracy (MAE): -8.2016e+06	,Validation accuracy (MAE): -7.56176e+07	,Training accuracy (MRAE): 0.770429	,Validation accuracy (MRAE): 0.126034
Epoch: 1040	,Training loss (MRSE): 0.078001	,Validation loss (MRSE): 0.816772	,Training loss (MSE): 1.67604e+16	,Validation loss (MSE): 1.93003e+17	,Training accuracy (MAE): -1.85606e+07	,Validation accuracy (MAE): -7.53561e+07	,Training accuracy (MRAE): 0.781098	,Validation accuracy (MRAE): 0.120676
Epoch: 1048	,Training loss (MRSE): 0.087898	,Validation loss (MRSE): 0.829133	,Training loss (MSE): 9.21621e+16	,Validation loss (MSE): 1.93074e+17	,Training accuracy (MAE): -4.202e+07	,Validation accuracy (MAE): -7.68618e+07	,Training accuracy (MRAE): 0.762237	,Validation accuracy (MRAE): 0.113831
Epoch: 1056	,Training loss (MRSE): 0.0634719	,Validation loss (MRSE): 0.83165	,Training loss (MSE): 1.75001e+15	,Validation loss (MSE): 1.93017e+17	,Training accuracy (MAE): -6.30692e+06	,Validation accuracy (MAE): -7.59703e+07	,Training accuracy (MRAE): 0.819676	,Validation accuracy (MRAE): 0.110927
Epoch: 1064	,Training loss (MRSE): 0.0695656	,Validation loss (MRSE): 0.814823	,Training loss (MSE): 1.92185e+15	,Validation loss (MSE): 1.93011e+17	,Training accuracy (MAE): -5.85397e+06	,Validation accuracy (MAE): -7.53314e+07	,Training accuracy (MRAE): 0.804142	,Validation accuracy (MRAE): 0.125962
Epoch: 1072	,Training loss (MRSE): 0.115942	,Validation loss (MRSE): 0.813165	,Training loss (MSE): 1.75669e+16	,Validation loss (MSE): 1.93011e+17	,Training accuracy (MAE): -1.78758e+07	,Validation accuracy (MAE): -7.52282e+07	,Training accuracy (MRAE): 0.706318	,Validation accuracy (MRAE): 0.128786
Epoch: 1080	,Training loss (MRSE): 0.151085	,Validation loss (MRSE): 0.814404	,Training loss (MSE): 6.18954e+15	,Validation loss (MSE): 1.93053e+17	,Training accuracy (MAE): -8.34113e+06	,Validation accuracy (MAE): -7.6182e+07	,Training accuracy (MRAE): 0.693069	,Validation accuracy (MRAE): 0.13171
Epoch: 1088	,Training loss (MRSE): 0.113954	,Validation loss (MRSE): 0.811098	,Training loss (MSE): 2.364e+16	,Validation loss (MSE): 1.92994e+17	,Training accuracy (MAE): -2.1194e+07	,Validation accuracy (MAE): -7.52331e+07	,Training accuracy (MRAE): 0.724772	,Validation accuracy (MRAE): 0.130793
Epoch: 1096	,Training loss (MRSE): 0.0502584	,Validation loss (MRSE): 0.817488	,Training loss (MSE): 3.36948e+15	,Validation loss (MSE): 1.93006e+17	,Training accuracy (MAE): -7.07897e+06	,Validation accuracy (MAE): -7.55865e+07	,Training accuracy (MRAE): 0.853828	,Validation accuracy (MRAE): 0.122399
Epoch: 1104	,Training loss (MRSE): 0.109171	,Validation loss (MRSE): 0.791943	,Training loss (MSE): 2.82335e+15	,Validation loss (MSE): 1.9301e+17	,Training accuracy (MAE): -7.95205e+06	,Validation accuracy (MAE): -7.52844e+07	,Training accuracy (MRAE): 0.756401	,Validation accuracy (MRAE): 0.143916
Epoch: 1112	,Training loss (MRSE): 0.0969467	,Validation loss (MRSE): 0.812776	,Training loss (MSE): 3.04048e+15	,Validation loss (MSE): 1.93001e+17	,Training accuracy (MAE): -7.51963e+06	,Validation accuracy (MAE): -7.5129e+07	,Training accuracy (MRAE): 0.755613	,Validation accuracy (MRAE): 0.123898
Epoch: 1120	,Training loss (MRSE): 0.0921201	,Validation loss (MRSE): 0.81393	,Training loss (MSE): 1.03489e+16	,Validation loss (MSE): 1.93018e+17	,Training accuracy (MAE): -1.41959e+07	,Validation accuracy (MAE): -7.5334e+07	,Training accuracy (MRAE): 0.764003	,Validation accuracy (MRAE): 0.124903
Epoch: 1128	,Training loss (MRSE): 0.131863	,Validation loss (MRSE): 0.81772	,Training loss (MSE): 2.40699e+16	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -2.2866e+07	,Validation accuracy (MAE): -7.61306e+07	,Training accuracy (MRAE): 0.678348	,Validation accuracy (MRAE): 0.119996
Epoch: 1136	,Training loss (MRSE): 0.0646364	,Validation loss (MRSE): 0.824245	,Training loss (MSE): 2.60587e+15	,Validation loss (MSE): 1.93034e+17	,Training accuracy (MAE): -7.3835e+06	,Validation accuracy (MAE): -7.61178e+07	,Training accuracy (MRAE): 0.815606	,Validation accuracy (MRAE): 0.120827
Epoch: 1144	,Training loss (MRSE): 0.0869624	,Validation loss (MRSE): 0.80911	,Training loss (MSE): 2.41337e+16	,Validation loss (MSE): 1.92998e+17	,Training accuracy (MAE): -2.22587e+07	,Validation accuracy (MAE): -7.53281e+07	,Training accuracy (MRAE): 0.764136	,Validation accuracy (MRAE): 0.12995
Epoch: 1152	,Training loss (MRSE): 0.108337	,Validation loss (MRSE): 0.835764	,Training loss (MSE): 1.85197e+16	,Validation loss (MSE): 1.93195e+17	,Training accuracy (MAE): -2.09981e+07	,Validation accuracy (MAE): -7.79833e+07	,Training accuracy (MRAE): 0.741063	,Validation accuracy (MRAE): 0.109203
Epoch: 1160	,Training loss (MRSE): 0.0783854	,Validation loss (MRSE): 0.829628	,Training loss (MSE): 1.59931e+16	,Validation loss (MSE): 1.92992e+17	,Training accuracy (MAE): -1.63597e+07	,Validation accuracy (MAE): -7.58211e+07	,Training accuracy (MRAE): 0.774614	,Validation accuracy (MRAE): 0.115146
Epoch: 1168	,Training loss (MRSE): 0.110932	,Validation loss (MRSE): 0.813907	,Training loss (MSE): 8.55951e+15	,Validation loss (MSE): 1.92992e+17	,Training accuracy (MAE): -1.29591e+07	,Validation accuracy (MAE): -7.52476e+07	,Training accuracy (MRAE): 0.725232	,Validation accuracy (MRAE): 0.123369
Epoch: 1176	,Training loss (MRSE): 0.0705912	,Validation loss (MRSE): 0.819197	,Training loss (MSE): 1.4735e+16	,Validation loss (MSE): 1.93027e+17	,Training accuracy (MAE): -1.54167e+07	,Validation accuracy (MAE): -7.62662e+07	,Training accuracy (MRAE): 0.799348	,Validation accuracy (MRAE): 0.125557
Epoch: 1184	,Training loss (MRSE): 0.0700533	,Validation loss (MRSE): 0.820726	,Training loss (MSE): 4.11697e+16	,Validation loss (MSE): 1.93026e+17	,Training accuracy (MAE): -2.8026e+07	,Validation accuracy (MAE): -7.6046e+07	,Training accuracy (MRAE): 0.790006	,Validation accuracy (MRAE): 0.121202
Epoch: 1192	,Training loss (MRSE): 0.103828	,Validation loss (MRSE): 0.839118	,Training loss (MSE): 3.88128e+15	,Validation loss (MSE): 1.93005e+17	,Training accuracy (MAE): -8.85742e+06	,Validation accuracy (MAE): -7.59914e+07	,Training accuracy (MRAE): 0.74371	,Validation accuracy (MRAE): 0.107813
Epoch: 1200	,Training loss (MRSE): 0.101081	,Validation loss (MRSE): 0.798108	,Training loss (MSE): 6.76915e+15	,Validation loss (MSE): 1.93001e+17	,Training accuracy (MAE): -1.07022e+07	,Validation accuracy (MAE): -7.53001e+07	,Training accuracy (MRAE): 0.778464	,Validation accuracy (MRAE): 0.13983
Epoch: 1208	,Training loss (MRSE): 0.1037	,Validation loss (MRSE): 0.829444	,Training loss (MSE): 1.54503e+16	,Validation loss (MSE): 1.93039e+17	,Training accuracy (MAE): -1.62727e+07	,Validation accuracy (MAE): -7.64089e+07	,Training accuracy (MRAE): 0.743706	,Validation accuracy (MRAE): 0.115408
Epoch: 1216	,Training loss (MRSE): 0.13126	,Validation loss (MRSE): 0.807485	,Training loss (MSE): 1.63484e+16	,Validation loss (MSE): 1.93017e+17	,Training accuracy (MAE): -1.7674e+07	,Validation accuracy (MAE): -7.52584e+07	,Training accuracy (MRAE): 0.6795	,Validation accuracy (MRAE): 0.130315
Epoch: 1224	,Training loss (MRSE): 0.0687809	,Validation loss (MRSE): 0.811603	,Training loss (MSE): 5.0665e+15	,Validation loss (MSE): 1.93001e+17	,Training accuracy (MAE): -9.0498e+06	,Validation accuracy (MAE): -7.51964e+07	,Training accuracy (MRAE): 0.810259	,Validation accuracy (MRAE): 0.12482
Epoch: 1232	,Training loss (MRSE): 0.0923428	,Validation loss (MRSE): 0.829893	,Training loss (MSE): 1.41757e+16	,Validation loss (MSE): 1.93008e+17	,Training accuracy (MAE): -1.62867e+07	,Validation accuracy (MAE): -7.54525e+07	,Training accuracy (MRAE): 0.759766	,Validation accuracy (MRAE): 0.11179
Epoch: 1240	,Training loss (MRSE): 0.0750185	,Validation loss (MRSE): 0.82925	,Training loss (MSE): 1.54382e+16	,Validation loss (MSE): 1.93013e+17	,Training accuracy (MAE): -1.73395e+07	,Validation accuracy (MAE): -7.6012e+07	,Training accuracy (MRAE): 0.781927	,Validation accuracy (MRAE): 0.113055
Epoch: 1248	,Training loss (MRSE): 0.110311	,Validation loss (MRSE): 0.823495	,Training loss (MSE): 4.8772e+15	,Validation loss (MSE): 1.93018e+17	,Training accuracy (MAE): -1.02965e+07	,Validation accuracy (MAE): -7.57166e+07	,Training accuracy (MRAE): 0.755831	,Validation accuracy (MRAE): 0.120421
Epoch: 1256	,Training loss (MRSE): 0.0956809	,Validation loss (MRSE): 0.81561	,Training loss (MSE): 8.74463e+16	,Validation loss (MSE): 1.93011e+17	,Training accuracy (MAE): -3.78462e+07	,Validation accuracy (MAE): -7.54367e+07	,Training accuracy (MRAE): 0.746566	,Validation accuracy (MRAE): 0.122417
Epoch: 1264	,Training loss (MRSE): 0.0853636	,Validation loss (MRSE): 0.814582	,Training loss (MSE): 1.26315e+16	,Validation loss (MSE): 1.93002e+17	,Training accuracy (MAE): -1.57111e+07	,Validation accuracy (MAE): -7.52522e+07	,Training accuracy (MRAE): 0.76716	,Validation accuracy (MRAE): 0.126995
Epoch: 1272	,Training loss (MRSE): 0.0805318	,Validation loss (MRSE): 0.825997	,Training loss (MSE): 3.07451e+15	,Validation loss (MSE): 1.93019e+17	,Training accuracy (MAE): -7.97482e+06	,Validation accuracy (MAE): -7.60565e+07	,Training accuracy (MRAE): 0.792399	,Validation accuracy (MRAE): 0.121697
Epoch: 1280	,Training loss (MRSE): 0.0754021	,Validation loss (MRSE): 0.829146	,Training loss (MSE): 6.42133e+15	,Validation loss (MSE): 1.93e+17	,Training accuracy (MAE): -1.0033e+07	,Validation accuracy (MAE): -7.56842e+07	,Training accuracy (MRAE): 0.790533	,Validation accuracy (MRAE): 0.11327
Epoch: 1288	,Training loss (MRSE): 0.11232	,Validation loss (MRSE): 0.820256	,Training loss (MSE): 2.00019e+16	,Validation loss (MSE): 1.93026e+17	,Training accuracy (MAE): -2.01377e+07	,Validation accuracy (MAE): -7.55786e+07	,Training accuracy (MRAE): 0.721944	,Validation accuracy (MRAE): 0.119773
Epoch: 1296	,Training loss (MRSE): 0.0837521	,Validation loss (MRSE): 0.803455	,Training loss (MSE): 3.23044e+15	,Validation loss (MSE): 1.9301e+17	,Training accuracy (MAE): -8.176e+06	,Validation accuracy (MAE): -7.52164e+07	,Training accuracy (MRAE): 0.794741	,Validation accuracy (MRAE): 0.132407
Epoch: 1304	,Training loss (MRSE): 0.0712462	,Validation loss (MRSE): 0.814354	,Training loss (MSE): 1.10141e+16	,Validation loss (MSE): 1.93013e+17	,Training accuracy (MAE): -1.45749e+07	,Validation accuracy (MAE): -7.56167e+07	,Training accuracy (MRAE): 0.802151	,Validation accuracy (MRAE): 0.123082
Epoch: 1312	,Training loss (MRSE): 0.0808945	,Validation loss (MRSE): 0.825491	,Training loss (MSE): 9.8631e+15	,Validation loss (MSE): 1.93015e+17	,Training accuracy (MAE): -1.36921e+07	,Validation accuracy (MAE): -7.58893e+07	,Training accuracy (MRAE): 0.772802	,Validation accuracy (MRAE): 0.120619
Epoch: 1320	,Training loss (MRSE): 0.0490348	,Validation loss (MRSE): 0.817852	,Training loss (MSE): 6.77264e+15	,Validation loss (MSE): 1.93002e+17	,Training accuracy (MAE): -1.02623e+07	,Validation accuracy (MAE): -7.54538e+07	,Training accuracy (MRAE): 0.849475	,Validation accuracy (MRAE): 0.120902
Epoch: 1328	,Training loss (MRSE): 0.0545879	,Validation loss (MRSE): 0.824232	,Training loss (MSE): 6.99372e+15	,Validation loss (MSE): 1.92989e+17	,Training accuracy (MAE): -1.13192e+07	,Validation accuracy (MAE): -7.55693e+07	,Training accuracy (MRAE): 0.829435	,Validation accuracy (MRAE): 0.1216
