Epoch: 0	,Training loss (MRSE): 1.00042	,Validation loss (MRSE): 1.00816	,Training loss (MSE): 1.52893e+17	,Validation loss (MSE): 1.93035e+17	,Training accuracy (MAE): -6.03935e+07	,Validation accuracy (MAE): -7.46089e+07	,Training accuracy (MRAE): -0.000208285	,Validation accuracy (MRAE): -0.00400604
Epoch: 672	,Training loss (MRSE): 0.0968901	,Validation loss (MRSE): 0.815915	,Training loss (MSE): 7.04039e+15	,Validation loss (MSE): 1.92869e+17	,Training accuracy (MAE): -1.06553e+07	,Validation accuracy (MAE): -7.55614e+07	,Training accuracy (MRAE): 0.768673	,Validation accuracy (MRAE): 0.123364
Epoch: 680	,Training loss (MRSE): 0.100617	,Validation loss (MRSE): 0.821568	,Training loss (MSE): 1.05344e+16	,Validation loss (MSE): 1.92892e+17	,Training accuracy (MAE): -1.07164e+07	,Validation accuracy (MAE): -7.5408e+07	,Training accuracy (MRAE): 0.760662	,Validation accuracy (MRAE): 0.120281
Epoch: 688	,Training loss (MRSE): 0.150427	,Validation loss (MRSE): 0.82273	,Training loss (MSE): 1.73344e+16	,Validation loss (MSE): 1.927e+17	,Training accuracy (MAE): -1.56508e+07	,Validation accuracy (MAE): -7.56297e+07	,Training accuracy (MRAE): 0.675656	,Validation accuracy (MRAE): 0.116454
Epoch: 696	,Training loss (MRSE): 0.122115	,Validation loss (MRSE): 0.827537	,Training loss (MSE): 2.45881e+16	,Validation loss (MSE): 1.92894e+17	,Training accuracy (MAE): -2.13417e+07	,Validation accuracy (MAE): -7.59967e+07	,Training accuracy (MRAE): 0.719578	,Validation accuracy (MRAE): 0.114236
Epoch: 704	,Training loss (MRSE): 0.0787552	,Validation loss (MRSE): 0.822846	,Training loss (MSE): 7.90681e+15	,Validation loss (MSE): 1.92828e+17	,Training accuracy (MAE): -1.07245e+07	,Validation accuracy (MAE): -7.55794e+07	,Training accuracy (MRAE): 0.800665	,Validation accuracy (MRAE): 0.120041
Epoch: 712	,Training loss (MRSE): 0.182456	,Validation loss (MRSE): 0.835926	,Training loss (MSE): 1.41768e+16	,Validation loss (MSE): 1.92856e+17	,Training accuracy (MAE): -1.64775e+07	,Validation accuracy (MAE): -7.58212e+07	,Training accuracy (MRAE): 0.670835	,Validation accuracy (MRAE): 0.113602
Epoch: 720	,Training loss (MRSE): 0.109022	,Validation loss (MRSE): 0.826229	,Training loss (MSE): 1.06047e+16	,Validation loss (MSE): 1.92946e+17	,Training accuracy (MAE): -1.40765e+07	,Validation accuracy (MAE): -7.57726e+07	,Training accuracy (MRAE): 0.724366	,Validation accuracy (MRAE): 0.116296
Epoch: 728	,Training loss (MRSE): 0.125576	,Validation loss (MRSE): 0.833441	,Training loss (MSE): 3.47941e+15	,Validation loss (MSE): 1.92833e+17	,Training accuracy (MAE): -7.2907e+06	,Validation accuracy (MAE): -7.61271e+07	,Training accuracy (MRAE): 0.750159	,Validation accuracy (MRAE): 0.117136
Epoch: 736	,Training loss (MRSE): 0.0958299	,Validation loss (MRSE): 0.825868	,Training loss (MSE): 2.71343e+16	,Validation loss (MSE): 1.92848e+17	,Training accuracy (MAE): -2.37654e+07	,Validation accuracy (MAE): -7.59125e+07	,Training accuracy (MRAE): 0.759118	,Validation accuracy (MRAE): 0.117952
Epoch: 744	,Training loss (MRSE): 0.0931153	,Validation loss (MRSE): 0.807169	,Training loss (MSE): 9.10419e+15	,Validation loss (MSE): 1.92851e+17	,Training accuracy (MAE): -1.0817e+07	,Validation accuracy (MAE): -7.56699e+07	,Training accuracy (MRAE): 0.789672	,Validation accuracy (MRAE): 0.137444
Epoch: 752	,Training loss (MRSE): 0.0772581	,Validation loss (MRSE): 0.829063	,Training loss (MSE): 2.81627e+15	,Validation loss (MSE): 1.92906e+17	,Training accuracy (MAE): -6.94355e+06	,Validation accuracy (MAE): -7.57488e+07	,Training accuracy (MRAE): 0.794821	,Validation accuracy (MRAE): 0.116703
Epoch: 760	,Training loss (MRSE): 0.171907	,Validation loss (MRSE): 0.840304	,Training loss (MSE): 6.59033e+15	,Validation loss (MSE): 1.92845e+17	,Training accuracy (MAE): -1.07369e+07	,Validation accuracy (MAE): -7.61135e+07	,Training accuracy (MRAE): 0.676128	,Validation accuracy (MRAE): 0.106344
Epoch: 768	,Training loss (MRSE): 0.0702684	,Validation loss (MRSE): 0.82801	,Training loss (MSE): 9.91361e+15	,Validation loss (MSE): 1.92882e+17	,Training accuracy (MAE): -1.28729e+07	,Validation accuracy (MAE): -7.58183e+07	,Training accuracy (MRAE): 0.81344	,Validation accuracy (MRAE): 0.117987
Epoch: 776	,Training loss (MRSE): 0.0767196	,Validation loss (MRSE): 0.828231	,Training loss (MSE): 4.96689e+15	,Validation loss (MSE): 1.92903e+17	,Training accuracy (MAE): -9.20927e+06	,Validation accuracy (MAE): -7.59553e+07	,Training accuracy (MRAE): 0.803186	,Validation accuracy (MRAE): 0.116174
Epoch: 784	,Training loss (MRSE): 0.0906273	,Validation loss (MRSE): 0.835007	,Training loss (MSE): 4.49618e+15	,Validation loss (MSE): 1.92809e+17	,Training accuracy (MAE): -7.67151e+06	,Validation accuracy (MAE): -7.57862e+07	,Training accuracy (MRAE): 0.782356	,Validation accuracy (MRAE): 0.107703
Epoch: 792	,Training loss (MRSE): 0.0976191	,Validation loss (MRSE): 0.823	,Training loss (MSE): 4.26665e+15	,Validation loss (MSE): 1.92921e+17	,Training accuracy (MAE): -8.08087e+06	,Validation accuracy (MAE): -7.5531e+07	,Training accuracy (MRAE): 0.765743	,Validation accuracy (MRAE): 0.119781
Epoch: 800	,Training loss (MRSE): 0.0935967	,Validation loss (MRSE): 0.828829	,Training loss (MSE): 5.06835e+15	,Validation loss (MSE): 1.92756e+17	,Training accuracy (MAE): -1.01925e+07	,Validation accuracy (MAE): -7.59147e+07	,Training accuracy (MRAE): 0.778751	,Validation accuracy (MRAE): 0.112341
Epoch: 808	,Training loss (MRSE): 0.0850383	,Validation loss (MRSE): 0.827372	,Training loss (MSE): 7.76645e+15	,Validation loss (MSE): 1.92838e+17	,Training accuracy (MAE): -1.19067e+07	,Validation accuracy (MAE): -7.59284e+07	,Training accuracy (MRAE): 0.781006	,Validation accuracy (MRAE): 0.117161
Epoch: 816	,Training loss (MRSE): 0.0984466	,Validation loss (MRSE): 0.8137	,Training loss (MSE): 1.38957e+16	,Validation loss (MSE): 1.92916e+17	,Training accuracy (MAE): -1.70376e+07	,Validation accuracy (MAE): -7.59013e+07	,Training accuracy (MRAE): 0.766223	,Validation accuracy (MRAE): 0.130491
Epoch: 824	,Training loss (MRSE): 0.180824	,Validation loss (MRSE): 0.829729	,Training loss (MSE): 5.5074e+15	,Validation loss (MSE): 1.92907e+17	,Training accuracy (MAE): -9.53129e+06	,Validation accuracy (MAE): -7.55837e+07	,Training accuracy (MRAE): 0.654091	,Validation accuracy (MRAE): 0.113681
Epoch: 832	,Training loss (MRSE): 0.0781255	,Validation loss (MRSE): 0.814857	,Training loss (MSE): 4.00561e+15	,Validation loss (MSE): 1.92885e+17	,Training accuracy (MAE): -6.99809e+06	,Validation accuracy (MAE): -7.57182e+07	,Training accuracy (MRAE): 0.794695	,Validation accuracy (MRAE): 0.127139
Epoch: 840	,Training loss (MRSE): 0.092177	,Validation loss (MRSE): 0.826072	,Training loss (MSE): 5.31041e+15	,Validation loss (MSE): 1.92863e+17	,Training accuracy (MAE): -7.51805e+06	,Validation accuracy (MAE): -7.59673e+07	,Training accuracy (MRAE): 0.792492	,Validation accuracy (MRAE): 0.12037
Epoch: 848	,Training loss (MRSE): 0.0894151	,Validation loss (MRSE): 0.819568	,Training loss (MSE): 9.45985e+15	,Validation loss (MSE): 1.9286e+17	,Training accuracy (MAE): -1.29649e+07	,Validation accuracy (MAE): -7.57432e+07	,Training accuracy (MRAE): 0.771912	,Validation accuracy (MRAE): 0.121716
Epoch: 856	,Training loss (MRSE): 0.067276	,Validation loss (MRSE): 0.822911	,Training loss (MSE): 4.10706e+15	,Validation loss (MSE): 1.92905e+17	,Training accuracy (MAE): -8.19337e+06	,Validation accuracy (MAE): -7.57212e+07	,Training accuracy (MRAE): 0.830316	,Validation accuracy (MRAE): 0.117603
Epoch: 864	,Training loss (MRSE): 0.0992233	,Validation loss (MRSE): 0.812093	,Training loss (MSE): 1.20332e+16	,Validation loss (MSE): 1.92952e+17	,Training accuracy (MAE): -1.49703e+07	,Validation accuracy (MAE): -7.54601e+07	,Training accuracy (MRAE): 0.753047	,Validation accuracy (MRAE): 0.128918
Epoch: 872	,Training loss (MRSE): 0.063067	,Validation loss (MRSE): 0.826072	,Training loss (MSE): 3.4976e+15	,Validation loss (MSE): 1.92882e+17	,Training accuracy (MAE): -6.86908e+06	,Validation accuracy (MAE): -7.57672e+07	,Training accuracy (MRAE): 0.831675	,Validation accuracy (MRAE): 0.118466
Epoch: 880	,Training loss (MRSE): 0.082573	,Validation loss (MRSE): 0.822097	,Training loss (MSE): 3.22603e+15	,Validation loss (MSE): 1.92956e+17	,Training accuracy (MAE): -6.69852e+06	,Validation accuracy (MAE): -7.57922e+07	,Training accuracy (MRAE): 0.789473	,Validation accuracy (MRAE): 0.122082
Epoch: 888	,Training loss (MRSE): 0.116778	,Validation loss (MRSE): 0.819389	,Training loss (MSE): 4.26049e+15	,Validation loss (MSE): 1.92939e+17	,Training accuracy (MAE): -8.55008e+06	,Validation accuracy (MAE): -7.5642e+07	,Training accuracy (MRAE): 0.731986	,Validation accuracy (MRAE): 0.119754
Epoch: 896	,Training loss (MRSE): 0.0836351	,Validation loss (MRSE): 0.834858	,Training loss (MSE): 4.21538e+15	,Validation loss (MSE): 1.92789e+17	,Training accuracy (MAE): -8.15336e+06	,Validation accuracy (MAE): -7.60473e+07	,Training accuracy (MRAE): 0.790766	,Validation accuracy (MRAE): 0.112382
Epoch: 904	,Training loss (MRSE): 0.107404	,Validation loss (MRSE): 0.820744	,Training loss (MSE): 6.9143e+15	,Validation loss (MSE): 1.92957e+17	,Training accuracy (MAE): -1.06867e+07	,Validation accuracy (MAE): -7.55524e+07	,Training accuracy (MRAE): 0.742051	,Validation accuracy (MRAE): 0.119055
Epoch: 912	,Training loss (MRSE): 0.0788722	,Validation loss (MRSE): 0.823749	,Training loss (MSE): 1.28296e+16	,Validation loss (MSE): 1.92894e+17	,Training accuracy (MAE): -1.19773e+07	,Validation accuracy (MAE): -7.57717e+07	,Training accuracy (MRAE): 0.809371	,Validation accuracy (MRAE): 0.117887
Epoch: 920	,Training loss (MRSE): 0.133276	,Validation loss (MRSE): 0.82193	,Training loss (MSE): 1.72473e+16	,Validation loss (MSE): 1.92978e+17	,Training accuracy (MAE): -1.84828e+07	,Validation accuracy (MAE): -7.58254e+07	,Training accuracy (MRAE): 0.69336	,Validation accuracy (MRAE): 0.122831
Epoch: 928	,Training loss (MRSE): 0.078843	,Validation loss (MRSE): 0.818108	,Training loss (MSE): 8.58052e+15	,Validation loss (MSE): 1.92935e+17	,Training accuracy (MAE): -1.14644e+07	,Validation accuracy (MAE): -7.56542e+07	,Training accuracy (MRAE): 0.790664	,Validation accuracy (MRAE): 0.127908
Epoch: 936	,Training loss (MRSE): 0.0757136	,Validation loss (MRSE): 0.826807	,Training loss (MSE): 7.59103e+15	,Validation loss (MSE): 1.92823e+17	,Training accuracy (MAE): -1.23607e+07	,Validation accuracy (MAE): -7.60148e+07	,Training accuracy (MRAE): 0.802674	,Validation accuracy (MRAE): 0.115423
Epoch: 944	,Training loss (MRSE): 0.0655078	,Validation loss (MRSE): 0.8219	,Training loss (MSE): 6.1146e+15	,Validation loss (MSE): 1.9289e+17	,Training accuracy (MAE): -8.33158e+06	,Validation accuracy (MAE): -7.57022e+07	,Training accuracy (MRAE): 0.82467	,Validation accuracy (MRAE): 0.123567
Epoch: 952	,Training loss (MRSE): 0.151582	,Validation loss (MRSE): 0.848988	,Training loss (MSE): 2.30551e+16	,Validation loss (MSE): 1.92906e+17	,Training accuracy (MAE): -2.21605e+07	,Validation accuracy (MAE): -7.61298e+07	,Training accuracy (MRAE): 0.679807	,Validation accuracy (MRAE): 0.100218
Epoch: 960	,Training loss (MRSE): 0.0852176	,Validation loss (MRSE): 0.837768	,Training loss (MSE): 6.67398e+15	,Validation loss (MSE): 1.92825e+17	,Training accuracy (MAE): -1.03581e+07	,Validation accuracy (MAE): -7.61074e+07	,Training accuracy (MRAE): 0.782109	,Validation accuracy (MRAE): 0.107607
Epoch: 968	,Training loss (MRSE): 0.0920204	,Validation loss (MRSE): 0.831195	,Training loss (MSE): 3.76455e+15	,Validation loss (MSE): 1.92775e+17	,Training accuracy (MAE): -8.24625e+06	,Validation accuracy (MAE): -7.58847e+07	,Training accuracy (MRAE): 0.783226	,Validation accuracy (MRAE): 0.117222
Epoch: 976	,Training loss (MRSE): 0.0692163	,Validation loss (MRSE): 0.822427	,Training loss (MSE): 4.64889e+15	,Validation loss (MSE): 1.92885e+17	,Training accuracy (MAE): -8.31964e+06	,Validation accuracy (MAE): -7.57172e+07	,Training accuracy (MRAE): 0.814286	,Validation accuracy (MRAE): 0.119427
Epoch: 984	,Training loss (MRSE): 0.161656	,Validation loss (MRSE): 0.808666	,Training loss (MSE): 1.3652e+16	,Validation loss (MSE): 1.92844e+17	,Training accuracy (MAE): -1.53406e+07	,Validation accuracy (MAE): -7.56298e+07	,Training accuracy (MRAE): 0.689372	,Validation accuracy (MRAE): 0.132704
Epoch: 992	,Training loss (MRSE): 0.112381	,Validation loss (MRSE): 0.84105	,Training loss (MSE): 2.37926e+15	,Validation loss (MSE): 1.92935e+17	,Training accuracy (MAE): -7.01728e+06	,Validation accuracy (MAE): -7.5931e+07	,Training accuracy (MRAE): 0.732195	,Validation accuracy (MRAE): 0.102687
Epoch: 1000	,Training loss (MRSE): 0.121002	,Validation loss (MRSE): 0.821818	,Training loss (MSE): 3.25854e+16	,Validation loss (MSE): 1.92944e+17	,Training accuracy (MAE): -2.55407e+07	,Validation accuracy (MAE): -7.58051e+07	,Training accuracy (MRAE): 0.711377	,Validation accuracy (MRAE): 0.123419
Epoch: 1008	,Training loss (MRSE): 0.118157	,Validation loss (MRSE): 0.809646	,Training loss (MSE): 2.19481e+16	,Validation loss (MSE): 1.92927e+17	,Training accuracy (MAE): -2.03153e+07	,Validation accuracy (MAE): -7.5638e+07	,Training accuracy (MRAE): 0.71377	,Validation accuracy (MRAE): 0.132176
Epoch: 1016	,Training loss (MRSE): 0.0914329	,Validation loss (MRSE): 0.819206	,Training loss (MSE): 7.51162e+15	,Validation loss (MSE): 1.92794e+17	,Training accuracy (MAE): -1.24644e+07	,Validation accuracy (MAE): -7.58605e+07	,Training accuracy (MRAE): 0.77707	,Validation accuracy (MRAE): 0.125744
Epoch: 1024	,Training loss (MRSE): 0.0960685	,Validation loss (MRSE): 0.833118	,Training loss (MSE): 1.07087e+16	,Validation loss (MSE): 1.92923e+17	,Training accuracy (MAE): -1.41591e+07	,Validation accuracy (MAE): -7.60085e+07	,Training accuracy (MRAE): 0.74935	,Validation accuracy (MRAE): 0.110509
Epoch: 1032	,Training loss (MRSE): 0.119905	,Validation loss (MRSE): 0.830899	,Training loss (MSE): 2.12442e+15	,Validation loss (MSE): 1.92946e+17	,Training accuracy (MAE): -5.4241e+06	,Validation accuracy (MAE): -7.61478e+07	,Training accuracy (MRAE): 0.739102	,Validation accuracy (MRAE): 0.111937
Epoch: 1040	,Training loss (MRSE): 0.154008	,Validation loss (MRSE): 0.819059	,Training loss (MSE): 1.64824e+16	,Validation loss (MSE): 1.92691e+17	,Training accuracy (MAE): -1.90401e+07	,Validation accuracy (MAE): -7.61219e+07	,Training accuracy (MRAE): 0.668834	,Validation accuracy (MRAE): 0.121756
Epoch: 1048	,Training loss (MRSE): 0.163886	,Validation loss (MRSE): 0.825995	,Training loss (MSE): 1.77378e+16	,Validation loss (MSE): 1.92647e+17	,Training accuracy (MAE): -1.97443e+07	,Validation accuracy (MAE): -7.61729e+07	,Training accuracy (MRAE): 0.65255	,Validation accuracy (MRAE): 0.115993
Epoch: 1056	,Training loss (MRSE): 0.0813946	,Validation loss (MRSE): 0.824408	,Training loss (MSE): 6.90624e+15	,Validation loss (MSE): 1.92949e+17	,Training accuracy (MAE): -1.21121e+07	,Validation accuracy (MAE): -7.57298e+07	,Training accuracy (MRAE): 0.7874	,Validation accuracy (MRAE): 0.120545
Epoch: 1064	,Training loss (MRSE): 0.0905088	,Validation loss (MRSE): 0.837472	,Training loss (MSE): 1.4353e+16	,Validation loss (MSE): 1.92868e+17	,Training accuracy (MAE): -1.60382e+07	,Validation accuracy (MAE): -7.66774e+07	,Training accuracy (MRAE): 0.78558	,Validation accuracy (MRAE): 0.108799
Epoch: 1072	,Training loss (MRSE): 0.0616997	,Validation loss (MRSE): 0.839186	,Training loss (MSE): 2.0952e+15	,Validation loss (MSE): 1.92832e+17	,Training accuracy (MAE): -5.92856e+06	,Validation accuracy (MAE): -7.60597e+07	,Training accuracy (MRAE): 0.83004	,Validation accuracy (MRAE): 0.106849
Epoch: 1080	,Training loss (MRSE): 0.0907669	,Validation loss (MRSE): 0.834883	,Training loss (MSE): 1.65546e+16	,Validation loss (MSE): 1.92815e+17	,Training accuracy (MAE): -1.85803e+07	,Validation accuracy (MAE): -7.60263e+07	,Training accuracy (MRAE): 0.785202	,Validation accuracy (MRAE): 0.111359
Epoch: 1088	,Training loss (MRSE): 0.0597072	,Validation loss (MRSE): 0.825262	,Training loss (MSE): 8.37639e+15	,Validation loss (MSE): 1.92854e+17	,Training accuracy (MAE): -1.22679e+07	,Validation accuracy (MAE): -7.60804e+07	,Training accuracy (MRAE): 0.828049	,Validation accuracy (MRAE): 0.12118
Epoch: 1096	,Training loss (MRSE): 0.0770292	,Validation loss (MRSE): 0.820758	,Training loss (MSE): 6.29859e+15	,Validation loss (MSE): 1.92873e+17	,Training accuracy (MAE): -9.24866e+06	,Validation accuracy (MAE): -7.57716e+07	,Training accuracy (MRAE): 0.79698	,Validation accuracy (MRAE): 0.123478
Epoch: 1104	,Training loss (MRSE): 0.142156	,Validation loss (MRSE): 0.829255	,Training loss (MSE): 5.38001e+15	,Validation loss (MSE): 1.92997e+17	,Training accuracy (MAE): -9.26383e+06	,Validation accuracy (MAE): -7.58792e+07	,Training accuracy (MRAE): 0.715727	,Validation accuracy (MRAE): 0.115163
Epoch: 1112	,Training loss (MRSE): 0.0930065	,Validation loss (MRSE): 0.838327	,Training loss (MSE): 8.22161e+15	,Validation loss (MSE): 1.92847e+17	,Training accuracy (MAE): -1.29304e+07	,Validation accuracy (MAE): -7.57925e+07	,Training accuracy (MRAE): 0.757666	,Validation accuracy (MRAE): 0.106438
Epoch: 1120	,Training loss (MRSE): 0.104005	,Validation loss (MRSE): 0.851906	,Training loss (MSE): 1.94588e+15	,Validation loss (MSE): 1.92901e+17	,Training accuracy (MAE): -5.94841e+06	,Validation accuracy (MAE): -7.63435e+07	,Training accuracy (MRAE): 0.757194	,Validation accuracy (MRAE): 0.0937435
Epoch: 1128	,Training loss (MRSE): 0.0642672	,Validation loss (MRSE): 0.834403	,Training loss (MSE): 2.86712e+15	,Validation loss (MSE): 1.92925e+17	,Training accuracy (MAE): -6.50707e+06	,Validation accuracy (MAE): -7.58956e+07	,Training accuracy (MRAE): 0.826419	,Validation accuracy (MRAE): 0.109241
Epoch: 1136	,Training loss (MRSE): 0.0870939	,Validation loss (MRSE): 0.813756	,Training loss (MSE): 7.06841e+15	,Validation loss (MSE): 1.92923e+17	,Training accuracy (MAE): -1.07147e+07	,Validation accuracy (MAE): -7.59815e+07	,Training accuracy (MRAE): 0.773125	,Validation accuracy (MRAE): 0.127229
Epoch: 1144	,Training loss (MRSE): 0.0796788	,Validation loss (MRSE): 0.83387	,Training loss (MSE): 3.49112e+15	,Validation loss (MSE): 1.92935e+17	,Training accuracy (MAE): -8.16706e+06	,Validation accuracy (MAE): -7.60506e+07	,Training accuracy (MRAE): 0.784325	,Validation accuracy (MRAE): 0.112279
Epoch: 1152	,Training loss (MRSE): 0.0836281	,Validation loss (MRSE): 0.81193	,Training loss (MSE): 1.20154e+16	,Validation loss (MSE): 1.92917e+17	,Training accuracy (MAE): -1.57079e+07	,Validation accuracy (MAE): -7.57383e+07	,Training accuracy (MRAE): 0.7835	,Validation accuracy (MRAE): 0.132813
Epoch: 1160	,Training loss (MRSE): 0.10711	,Validation loss (MRSE): 0.839697	,Training loss (MSE): 2.74257e+16	,Validation loss (MSE): 1.92818e+17	,Training accuracy (MAE): -2.39024e+07	,Validation accuracy (MAE): -7.60582e+07	,Training accuracy (MRAE): 0.727181	,Validation accuracy (MRAE): 0.106732
Epoch: 1168	,Training loss (MRSE): 0.0572324	,Validation loss (MRSE): 0.836407	,Training loss (MSE): 2.06934e+15	,Validation loss (MSE): 1.92924e+17	,Training accuracy (MAE): -5.52245e+06	,Validation accuracy (MAE): -7.61672e+07	,Training accuracy (MRAE): 0.844197	,Validation accuracy (MRAE): 0.110094
Epoch: 1176	,Training loss (MRSE): 0.0879268	,Validation loss (MRSE): 0.813797	,Training loss (MSE): 3.41002e+15	,Validation loss (MSE): 1.92926e+17	,Training accuracy (MAE): -7.30178e+06	,Validation accuracy (MAE): -7.57576e+07	,Training accuracy (MRAE): 0.772091	,Validation accuracy (MRAE): 0.127362
Epoch: 1184	,Training loss (MRSE): 0.0727384	,Validation loss (MRSE): 0.822347	,Training loss (MSE): 1.0955e+16	,Validation loss (MSE): 1.92921e+17	,Training accuracy (MAE): -1.2362e+07	,Validation accuracy (MAE): -7.55819e+07	,Training accuracy (MRAE): 0.790287	,Validation accuracy (MRAE): 0.126556
Epoch: 1192	,Training loss (MRSE): 0.150626	,Validation loss (MRSE): 0.825934	,Training loss (MSE): 7.46749e+16	,Validation loss (MSE): 1.92858e+17	,Training accuracy (MAE): -3.98782e+07	,Validation accuracy (MAE): -7.65828e+07	,Training accuracy (MRAE): 0.666803	,Validation accuracy (MRAE): 0.119528
Epoch: 1200	,Training loss (MRSE): 0.0935751	,Validation loss (MRSE): 0.830014	,Training loss (MSE): 1.82502e+15	,Validation loss (MSE): 1.92849e+17	,Training accuracy (MAE): -5.03353e+06	,Validation accuracy (MAE): -7.68586e+07	,Training accuracy (MRAE): 0.761226	,Validation accuracy (MRAE): 0.116843
Epoch: 1208	,Training loss (MRSE): 0.0700929	,Validation loss (MRSE): 0.824952	,Training loss (MSE): 7.56873e+15	,Validation loss (MSE): 1.92941e+17	,Training accuracy (MAE): -1.1314e+07	,Validation accuracy (MAE): -7.59333e+07	,Training accuracy (MRAE): 0.795716	,Validation accuracy (MRAE): 0.12024
Epoch: 1216	,Training loss (MRSE): 0.080735	,Validation loss (MRSE): 0.811386	,Training loss (MSE): 1.07822e+16	,Validation loss (MSE): 1.92891e+17	,Training accuracy (MAE): -1.46e+07	,Validation accuracy (MAE): -7.57318e+07	,Training accuracy (MRAE): 0.795986	,Validation accuracy (MRAE): 0.12834
Epoch: 1224	,Training loss (MRSE): 0.0876043	,Validation loss (MRSE): 0.832513	,Training loss (MSE): 1.10381e+16	,Validation loss (MSE): 1.92893e+17	,Training accuracy (MAE): -1.4578e+07	,Validation accuracy (MAE): -7.63246e+07	,Training accuracy (MRAE): 0.803431	,Validation accuracy (MRAE): 0.11522
Epoch: 1232	,Training loss (MRSE): 0.0865513	,Validation loss (MRSE): 0.81927	,Training loss (MSE): 1.5647e+16	,Validation loss (MSE): 1.9292e+17	,Training accuracy (MAE): -1.77607e+07	,Validation accuracy (MAE): -7.57913e+07	,Training accuracy (MRAE): 0.76415	,Validation accuracy (MRAE): 0.123389
Epoch: 1240	,Training loss (MRSE): 0.0971819	,Validation loss (MRSE): 0.801588	,Training loss (MSE): 1.90345e+16	,Validation loss (MSE): 1.92911e+17	,Training accuracy (MAE): -1.59779e+07	,Validation accuracy (MAE): -7.57249e+07	,Training accuracy (MRAE): 0.783516	,Validation accuracy (MRAE): 0.139428
Epoch: 1248	,Training loss (MRSE): 0.0840205	,Validation loss (MRSE): 0.816771	,Training loss (MSE): 1.05263e+15	,Validation loss (MSE): 1.9296e+17	,Training accuracy (MAE): -4.21189e+06	,Validation accuracy (MAE): -7.59517e+07	,Training accuracy (MRAE): 0.788572	,Validation accuracy (MRAE): 0.126836
Epoch: 1256	,Training loss (MRSE): 0.0814097	,Validation loss (MRSE): 0.822586	,Training loss (MSE): 2.37454e+16	,Validation loss (MSE): 1.92927e+17	,Training accuracy (MAE): -2.23455e+07	,Validation accuracy (MAE): -7.63877e+07	,Training accuracy (MRAE): 0.770583	,Validation accuracy (MRAE): 0.121558
Epoch: 1264	,Training loss (MRSE): 0.0620736	,Validation loss (MRSE): 0.831431	,Training loss (MSE): 4.10513e+15	,Validation loss (MSE): 1.92889e+17	,Training accuracy (MAE): -7.58412e+06	,Validation accuracy (MAE): -7.6327e+07	,Training accuracy (MRAE): 0.82833	,Validation accuracy (MRAE): 0.115068
Epoch: 1272	,Training loss (MRSE): 0.0759406	,Validation loss (MRSE): 0.831822	,Training loss (MSE): 7.4308e+15	,Validation loss (MSE): 1.92921e+17	,Training accuracy (MAE): -1.19108e+07	,Validation accuracy (MAE): -7.59635e+07	,Training accuracy (MRAE): 0.794746	,Validation accuracy (MRAE): 0.112191
Epoch: 1280	,Training loss (MRSE): 0.0683562	,Validation loss (MRSE): 0.824677	,Training loss (MSE): 2.05819e+16	,Validation loss (MSE): 1.92974e+17	,Training accuracy (MAE): -2.10186e+07	,Validation accuracy (MAE): -7.64249e+07	,Training accuracy (MRAE): 0.798754	,Validation accuracy (MRAE): 0.121511
Epoch: 1288	,Training loss (MRSE): 0.0474343	,Validation loss (MRSE): 0.828672	,Training loss (MSE): 8.4118e+14	,Validation loss (MSE): 1.92905e+17	,Training accuracy (MAE): -4.23014e+06	,Validation accuracy (MAE): -7.61168e+07	,Training accuracy (MRAE): 0.855007	,Validation accuracy (MRAE): 0.114125
Epoch: 1296	,Training loss (MRSE): 0.063137	,Validation loss (MRSE): 0.820971	,Training loss (MSE): 1.62742e+16	,Validation loss (MSE): 1.92946e+17	,Training accuracy (MAE): -1.81986e+07	,Validation accuracy (MAE): -7.57769e+07	,Training accuracy (MRAE): 0.806311	,Validation accuracy (MRAE): 0.124608
Epoch: 1304	,Training loss (MRSE): 0.0619193	,Validation loss (MRSE): 0.816617	,Training loss (MSE): 4.32413e+15	,Validation loss (MSE): 1.92884e+17	,Training accuracy (MAE): -9.1182e+06	,Validation accuracy (MAE): -7.57325e+07	,Training accuracy (MRAE): 0.813537	,Validation accuracy (MRAE): 0.125127
Epoch: 1312	,Training loss (MRSE): 0.0666656	,Validation loss (MRSE): 0.818814	,Training loss (MSE): 1.05007e+16	,Validation loss (MSE): 1.92938e+17	,Training accuracy (MAE): -1.37513e+07	,Validation accuracy (MAE): -7.58759e+07	,Training accuracy (MRAE): 0.802376	,Validation accuracy (MRAE): 0.124872
Epoch: 1320	,Training loss (MRSE): 0.0830173	,Validation loss (MRSE): 0.820988	,Training loss (MSE): 4.20834e+15	,Validation loss (MSE): 1.92944e+17	,Training accuracy (MAE): -8.82973e+06	,Validation accuracy (MAE): -7.59548e+07	,Training accuracy (MRAE): 0.766937	,Validation accuracy (MRAE): 0.12515
Epoch: 1328	,Training loss (MRSE): 0.0593175	,Validation loss (MRSE): 0.814401	,Training loss (MSE): 4.81404e+15	,Validation loss (MSE): 1.9287e+17	,Training accuracy (MAE): -9.76102e+06	,Validation accuracy (MAE): -7.56775e+07	,Training accuracy (MRAE): 0.838365	,Validation accuracy (MRAE): 0.12393
